"theta","phi","sum","Dmax1","Dmax2","d1","d2"
"1",5,5,10,3.12846347819678,25.0447468362152,3.12846347819678,3.5045277713126
"2",5.5,5,10.5,4.02456562654237,25.9440774623765,4.02456562654237,4.46052359644674
"3",6,5,11,4.83744879742164,26.7618688264984,4.83744879742164,5.32357700758142
"4",6.5,5,11.5,5.57774898889246,27.5087565528609,5.57774898889246,6.1072690234507
"5",7,5,12,6.25432972592892,28.1936036647718,6.25432972592892,6.82219350257787
"6",7.5,5,12.5,6.87463658058115,28.8238551047647,6.87463658058115,7.47690489374289
"7",8,5,13,7.44496987977218,29.405810442444,7.44496987977218,8.0784586831927
"8",8.5,5,13.5,7.97069681134192,29.9448359805863,7.97069681134192,8.63276053402113
"9",9,5,14,8.45641807877406,30.4455314099351,8.45641807877406,9.14480882161121
"10",9.5,5,14.5,8.90610007561113,30.9118619836924,8.90610007561113,9.61887294179303
"11",10,5,15,9.32318062496152,31.3472642571129,9.32318062496152,10.0586270245233
"12",10.5,5,15.5,9.71065425326914,31.7547313613705,9.71065425326914,10.4672538045528
"13",11,5,16,10.0711414752235,32.136882288574,10.0711414752235,10.847526450328
"14",11.5,5,16.5,10.4069454813846,32.4960185795084,10.4069454813845,11.2018744510343
"15",12,5,17,10.7200988220791,32.8341710076565,10.7200988220791,11.532435130532
"16",12.5,5,17.5,11.0124020883124,33.1531382602464,11.0124020883124,11.841098795441
"17",13,5,18,11.2854561458287,33.4545191724566,11.2854561458287,12.1295426739283
"18",13.5,5,18.5,11.5406891419946,33.7397397344539,11.5406891419946,12.3992610498886
"19",14,5,19,11.779379248403,34.010075834162,11.779379248403,12.651590295939
"20",14.5,5,19.5,12.00267390458,34.2666725011422,12.00267390458,12.88772882311
"21",15,5,20,12.211606175101,34.5105602638928,12.211606175101,13.1087549917116
"22",15.5,5,20.5,12.4071087129456,34.7426691133972,12.4071087129456,13.3156427685693
"23",16,5,21,12.59002572805,34.9638404718793,12.5900257280499,13.5092725752951
"24",16.5,5,21.5,12.7611232857919,35.1748374915006,12.7611232857919,13.6904442258657
"25",17,5,22,12.9210982010979,35.376353948689,12.9210982010979,13.8598849490103
"26",17.5,5,22.5,13.0705857466304,35.5690219525578,13.0705857466304,14.0182582649552
"27",18,5,23,13.2101663555199,35.7534186478783,13.2101663555199,14.1661706300175
"28",18.5,5,23.5,13.3403714683887,35.9300720623543,13.3403714683887,14.3041772927721
"29",19,5,24,13.461688649456,36.0994662229872,13.461688649456,14.4327888539026
"30",19.5,5,24.5,13.5745660761404,36.2620456459472,13.5745660761404,14.5524742316498
"31",20,5,25,13.6794164898676,36.4182192876607,13.6794164898676,14.6636661486477
"32",20.5,5,25.5,13.7766206820361,36.5683640310636,13.776620682036,14.7667644110631
"33",21,5,26,13.8665305777121,36.7128277695944,13.8665305777121,14.8621385886262
"34",21.5,5,26.5,13.9494719701858,36.8519321420566,13.9494719701857,14.9501315728258
"35",22,5,27,14.0257469516427,36.9859749636075,13.6046608891552,14.617263873727
"36",22.5,5,27.5,14.0956360786282,37.1152323915479,13.1206281321746,14.1476239387192
"37",23,5,28,14.1594003054542,37.2399608590636,12.6610056239076,13.702075180872
"38",23.5,5,28.5,14.2172827140435,37.3603988054146,12.2240307372183,13.2788624033248
"39",24,5,29,14.2695100647816,37.4767682271397,11.8081070284067,12.8763966944571
"40",24.5,5,29.5,14.3162941896081,37.5892760715118,11.4117879907668,12.4932378805159
"41",25,5,30,14.3578332457547,37.6981154906467,11.0337569141534,12.128076522229
"42",25.5,5,30.5,14.3943128461188,37.8034669722586,10.6728140673569,11.7797187890067
"43",26,5,31,14.4259070801993,37.9054993609861,10.3278637736768,11.4470751635444
"44",26.5,5,31.5,14.4527794377556,38.0043707824503,9.9979009023774,11.1291468155965
"45",27,5,32,14.4750836458259,38.100229480682,9.68200568018092,10.8250190880866
"46",27.5,5,32.5,14.4929644284364,38.1932145782481,9.37932997353107,10.5338496584605
"47",28,5,33,14.5065581971984,38.2834567672757,9.08909452270933,10.254864429796
"48",28.5,5,33.5,14.5159936800146,38.3710789385934,8.81057942723996,9.98734820613258
"49",29,5,34,14.5213924942634,38.4561967553607,8.54312007422282,9.73064165622303
"50",29.5,5,34.5,14.5228696700937,38.5389191768156,8.28610010794297,9.48413285899764
"51",30,5,35,14.5205341288182,38.619348937131,8.03894950404664,9.24725628205384
"52",5,5.5,10.5,4.02779410435811,25.9232819906203,4.02779410435811,4.45694829509162
"53",5.5,5.5,11,4.84170149010778,26.7404178541857,4.84170149010778,5.31930982740388
"54",6,5.5,11.5,5.58308235547228,27.4867069127929,5.58308235547227,6.10237369017015
"55",6.5,5.5,12,6.26079299338219,28.1710050855945,6.26079299338218,6.81672512539941
"56",7,5.5,12.5,6.8822728805448,28.8007513476315,6.8822728805448,7.47091174549446
"57",7.5,5.5,13,7.45381716666178,29.3822402190891,7.45381716666178,8.07198345391831
"58",8,5.5,13.5,7.98078861046921,29.9208337013848,7.98078861046921,8.62584080178505
"59",8.5,5.5,14,8.46778410089214,30.4211277983804,8.46778410089214,9.13747864725693
"60",9,5.5,14.5,8.91876672552491,30.8870845849297,8.91876672552489,9.6111629468156
"61",9.5,5.5,15,9.33717142539235,31.3221378617174,9.33717142539235,10.0505645172232
"62",10,5.5,15.5,9.72599020037782,31.729278360773,9.72599020037782,10.4588638603217
"63",10.5,5.5,16,10.0878413386077,32.1111229749529,10.0878413386077,10.8388316703971
"64",11,5.5,16.5,10.4250260586478,32.4699714002422,10.4250260586478,11.1928954529671
"65",11.5,5.5,17,10.73957515599,32.8078527823576,10.73957515599,11.5231914441974
"66",12,5.5,17.5,11.0332876529684,33.1265643667896,11.0332876529684,11.831607586634
"67",12.5,5.5,18,11.3077630069928,33.4277037071707,11.3077630069928,12.1198202499863
"68",13,5.5,18.5,11.5644280957937,33.7126956506654,11.5644280957937,12.3893225888627
"69",13.5,5.5,19,11.8045599418065,33.9828150625096,11.8045599418064,12.6414494412176
"70",14,5.5,19.5,12.0293049404634,34.2392060544663,12.0293049404634,12.8773987432977
"71",14.5,5.5,20,12.2396952042078,34.4828983290139,12.2396952042078,13.0982478418896
"72",15,5.5,20.5,12.436662514666,34.7148211317015,12.436662514666,13.3049694740629
"73",15.5,5.5,21,12.621050281616,34.9358152103114,12.621050281616,13.4984442322902
"74",16,5.5,21.5,12.7936238332272,35.1466431053004,12.7936238332272,13.6794705740207
"75",16.5,5.5,22,12.9550793030475,35.347998037,12.9550793030474,13.8487754745531
"76",17,5.5,22.5,13.1060513320216,35.5405116078565,13.1060513320215,14.0070219212004
"77",17.5,5.5,23,13.2471197658598,35.724760500031,13.2471197658598,14.1548156276939
"78",18,5.5,23.5,13.3788154973845,35.9012723179867,13.3788154973845,14.2927116985954
"79",18.5,5.5,24,13.5016255785437,36.0705307007531,13.5016255785437,14.4212202179077
"80",19,5.5,24.5,13.6159977064239,36.2329798081988,13.6159977064239,14.5408097027592
"81",19.5,5.5,25,13.7223441709005,36.3890282689511,13.7223441709005,14.6519125762582
"82",20,5.5,25.5,13.8210453378185,36.5390526638554,13.8210453378185,14.7549280863019
"83",20.5,5.5,26,13.9124527302249,36.6834006074962,13.9124527302248,14.8502260345678
"84",21,5.5,26.5,13.9968917607416,36.8223934808677,13.9968917607412,14.9381482937324
"85",21.5,5.5,27,14.0746641602986,36.9563288604132,13.6521094189757,14.6055471467865
"86",22,5.5,27.5,14.1460501418712,37.0854826820799,13.1675549726081,14.1362839694578
"87",22.5,5.5,28,14.2113103323458,37.2101111735094,12.7074225652794,13.6910925464702
