"Angle","Dmax","d1","d2","d3"
"1",10,3.12846347819678,3.12846347522608,1.25937428708599e-09,3.12846347759869
"2",10.5,4.0262181921456,4.0262181894142,3.38807687097675e-09,4.02621818865622
"3",11,4.84170149010778,4.84170149008152,1.70958570301652e-09,4.84170148801241
"4",11.5,5.58558962288109,5.58558962105653,5.32968931737365e-09,5.58558961767091
"5",12,6.26677947720936,6.26677947699662,2.60384738587244e-09,6.26677947572103
"6",12.5,6.89274445018796,6.89274444513657,1.02497681266656e-08,6.89274443951355
"7",13,7.46980819880598,7.46980818725773,1.78038446087949e-08,7.46980818098631
"8",13.5,8.00335755625623,8.00335755253699,1.29779990921949e-08,8.00335753734203
"9",14,8.4980098233212,8.49800980965553,1.53695650313587e-08,8.49800982253789
"10",14.5,8.95774544774758,8.95774543017619,2.26108800661115e-08,8.95774543161997
"11",15,9.38601416774527,9.38601415198706,3.9730830896782e-09,9.38601414828819
"12",15.5,9.78582061158278,9.78582038776421,2.0309671115063e-07,9.78582040548543
"13",16,10.1597938472579,10.1597937902458,6.04008910278721e-08,10.1597937800622
"14",16.5,10.5102442867731,10.5102441666145,7.23168662546486e-08,10.5102442052362
"15",17,10.8392105484794,10.8392104804035,1.83848660862584e-07,10.8392102648696
"16",17.5,11.1484982858745,11.1484978697171,5.23638189905759e-07,11.1484977874015
"17",18,11.439712544935,11.4397118944977,5.88445867738451e-07,11.4397120109694
"18",18.5,11.7142848743113,11.7142809294995,4.07436367400421e-06,11.7142806729061
"19",19,11.9734961549667,11.973495939447,2.6581964196101e-07,11.9734958755525
"20",19.5,12.2184959175619,12.2184949892399,7.15929152379531e-07,12.2184950460371
"21",20,12.450318762232,12.4503140202063,5.80314657930834e-06,12.4503123618365
"22",20.5,12.669898375469,12.6698563353223,4.36046549492375e-05,12.6698524496718
"23",21,12.8780795445904,12.6883215960084,0.189755004011065,12.6883245593415
"24",21.5,13.0756284957714,12.4158431520735,0.659785148361259,12.415841637919
"25",22,13.263241822343,12.1561079197245,1.10713372606519,12.1561075284226
"26",22.5,13.4415542226507,11.9168928053974,1.52465930056568,11.9168951854973
"27",23,13.6111452286265,11.6847954646187,1.9263495782623,11.6847958389102
"28",23.5,13.7725450753926,11.4658342779047,2.30671091631261,11.4658342618338
"29",24,13.9262398371652,11.2638231948608,2.66241679226682,11.263823210715
"30",24.5,14.0726759342701,11.0722870020837,3.00038941310544,11.0722868951833
"31",25,14.2122640993167,10.884514245508,3.32774920809364,10.8845125391976
"32",25.5,14.3453828767614,10.7120372678433,3.63334503674036,10.7120379410775
"33",26,14.472381718676,10.5460220944825,3.92635979918313,10.5460216576447
"34",26.5,14.5935837300491,10.3885587420233,4.2050253016268,10.3885583486564
"35",27,14.7092881090547,10.2414382040861,4.46784982979918,10.2414380896581
"36",27.5,14.8197723211083,10.0978546017918,4.72191724322271,10.0978541115993
"37",28,14.9252940399874,9.9598855565638,4.9654085197579,9.95988437745765
"38",28.5,15.0260928846234,9.83180278923976,5.19428940200109,9.83180274972806
"39",29,15.1223919762236,9.70730678512875,5.41508508196614,9.70730681216054
"40",29.5,15.2143993370418,9.58613951376719,5.6282589524414,9.58614081450275
"41",30,15.3023091492708,9.47511180548979,5.82719696500747,9.47511168108114
"42",30.5,15.3863028901085,9.36540617502317,6.02089531091265,9.36540760425488
"43",31,15.4665503569779,9.26220846913525,6.20434084676169,9.26220868331652
"44",31.5,15.5432105951066,9.16061084586246,6.38259807277449,9.16061149359427
"45",32,15.6164327381446,9.06411208209635,6.55231972364207,9.06411309504481
"46",32.5,15.6863567711863,8.97200050332511,6.71435471579708,8.97200080542217
"47",33,15.753114224425,8.88322856307991,6.86988486285802,8.88322598804782
"48",33.5,15.8168288046893,8.79494474373144,7.02187924912058,8.7949445491071
"49",34,15.8776169712544,8.71670390973694,7.16090734968946,8.71670970278897
"50",34.5,15.9355884615818,8.63618387001528,7.29940271812783,8.63618445602365
"51",35,15.990846771995,8.55814119745195,7.43270484495337,8.5581386877337
"52",35.5,16.043489597734,8.48568040002068,7.55780294771204,8.48568535581342
"53",36,16.0936092363374,8.41346970178476,7.68013823963859,8.41346797996932
"54",36.5,16.1412929578689,8.34326781121858,7.79802171099769,8.34327022751212
"55",37,16.1866233451249,8.2787421053091,7.90786706447518,8.27875188335275
"56",37.5,16.2296786066249,8.21416631875814,8.01551134915861,8.21415332977165
"57",38,16.2705328648898,8.149792335497,8.12074014385969,8.14979043002461
"58",38.5,16.3092564222582,7.95886863587193,7.9588686638037,7.95886873980507
"59",39,16.3459160062526,7.74764547332039,7.74764580482161,7.74764568469377
"60",39.5,16.3805749963103,7.54494093460793,7.54494091114777,7.54494068942414
"61",40,16.4132936335082,7.35024730094007,7.35024694430884,7.35024692874136
"62",40.5,16.444129214752,7.16309831811546,7.1630983226709,7.16309810408626
"63",41,16.4731362727548,6.98306535654079,6.98306547316701,6.98306545635248
"64",41.5,16.5003667430049,6.80975345276511,6.80975339164138,6.80975326502826
"65",42,16.5258701188064,6.64279602918463,6.64279601393043,6.64279619198809
"66",42.5,16.5496935953746,6.48185487310719,6.48185466325836,6.48185460193521
"67",43,16.5718822038775,6.32661502240038,6.32661518211636,6.32661495384319
"68",43.5,16.5924789362323,6.17678542220859,6.17678543861705,6.17678539090351
"69",44,16.6115248613915,6.03209342275152,6.03209336172257,6.03209340721275
"70",44.5,16.6290592337897,5.89228629812276,5.89228603971237,5.89228629243425
"71",45,16.6451195945587,5.75712669540126,5.75712669674724,5.75712684142777
"72",45.5,16.6597418660687,5.62639395609064,5.62639391834644,5.62639401632746
"73",46,16.6729604403027,5.49988086131895,5.49988074556241,5.49988087736641
"74",46.5,16.6848082615284,5.37739352805716,5.37739353035001,5.3773934655469
