"theta","phi","sum","Dmax1","Dmax2","d1","d2"
5,5,10,3.12846347819678,25.0447468362152,3.12846347819678,3.50452773869888
5.5,5,10.5,4.02456562654237,25.9440774623765,4.02456562654237,4.46052365907698
6,5,11,4.83744879742164,26.7618688264984,4.83744879742164,5.32357701271296
6.5,5,11.5,5.57774898889246,27.5087565528609,5.57774898889246,6.1072690129737
7,5,12,6.25432972592892,28.1936036647718,6.25432972592892,6.82219350489445
7.5,5,12.5,6.87463658058115,28.8238551047647,6.87463658058115,7.4769049735404
8,5,13,7.44496987977218,29.405810442444,7.44496987977218,8.07845872880235
8.5,5,13.5,7.97069681134192,29.9448359805863,7.97069681134191,8.63276043092639
9,5,14,8.45641807877406,30.4455314099351,8.45641807877405,9.14480883157423
9.5,5,14.5,8.90610007561113,30.9118619836924,8.90610007561113,9.61887292246434
10,5,15,9.32318062496152,31.3472642571129,9.32318062496151,10.058627135404
10.5,5,15.5,9.71065425326914,31.7547313613705,9.71065425326914,10.4672538049665
11,5,16,10.0711414752235,32.136882288574,10.0711414752235,10.8475264523232
11.5,5,16.5,10.4069454813846,32.4960185795084,10.4069454813846,11.2018744138332
12,5,17,10.7200988220791,32.8341710076565,10.7200988220791,11.5324351111377
12.5,5,17.5,11.0124020883124,33.1531382602464,11.0124020883124,11.8410987621478
13,5,18,11.2854561458287,33.4545191724566,11.2854561458287,12.1295425768812
13.5,5,18.5,11.5406891419946,33.7397397344539,11.5406891419946,12.3992611998447
14,5,19,11.779379248403,34.010075834162,11.7793792484029,12.6515904723289
14.5,5,19.5,12.00267390458,34.2666725011422,12.00267390458,12.8877288108447
15,5,20,12.211606175101,34.5105602638928,12.211606175101,13.1087551408004
15.5,5,20.5,12.4071087129456,34.7426691133972,12.4071087129456,13.315642736842
16,5,21,12.59002572805,34.9638404718793,12.5900257280499,13.5092725322696
16.5,5,21.5,12.7611232857919,35.1748374915006,12.7611232857919,13.6904440073762
17,5,22,12.9210982010979,35.376353948689,12.9210982010979,13.8598849299695
17.5,5,22.5,13.0705857466304,35.5690219525578,13.0705857466304,14.0182582119516
18,5,23,13.2101663555199,35.7534186478783,13.2101663555199,14.1661704897894
18.5,5,23.5,13.3403714683887,35.9300720623543,13.3403714683887,14.3041772658373
19,5,24,13.461688649456,36.0994662229872,13.461688649456,14.4327887201098
19.5,5,24.5,13.5745660761404,36.2620456459472,13.5745660761404,14.5524741764172
20,5,25,13.6794164898676,36.4182192876607,13.6794164898676,14.6636662091977
20.5,5,25.5,13.7766206820361,36.5683640310636,13.7766206820361,14.7667644012969
21,5,26,13.8665305777121,36.7128277695944,13.8665305777121,14.8621385678987
21.5,5,26.5,13.9494719701858,36.8519321420566,13.9494719701856,14.9501315825036
22,5,27,14.0257469516427,36.9859749636075,13.6046607486686,14.6172635639937
22.5,5,27.5,14.0956360786282,37.1152323915479,13.1206279023976,14.1476236969977
23,5,28,14.1594003054542,37.2399608590636,12.6610055863964,13.7020751297826
23.5,5,28.5,14.2172827140435,37.3603988054146,12.2240305067974,13.2788621865242
24,5,29,14.2695100647816,37.4767682271397,11.8081068260014,12.8763964559313
24.5,5,29.5,14.3162941896081,37.5892760715118,11.4117878659009,12.4932377114381
25,5,30,14.3578332457547,37.6981154906467,11.0337565431237,12.1280760463116
25.5,5,30.5,14.3943128461188,37.8034669722586,10.6728142265146,11.7797187296898
26,5,31,14.4259070801993,37.9054993609861,10.3278639349179,11.4470753665293
26.5,5,31.5,14.4527794377556,38.0043707824503,9.99790123276637,11.1291471470116
27,5,32,14.4750836458259,38.100229480682,9.68200579520091,10.8250191920472
27.5,5,32.5,14.4929644284364,38.1932145782481,9.37933018944726,10.5338499265915
28,5,33,14.5065581971984,38.2834567672757,9.08909454936592,10.2548644270891
28.5,5,33.5,14.5159936800146,38.3710789385934,8.81057976209639,9.98734852201214
29,5,34,14.5213924942634,38.4561967553607,8.54311992233835,9.73064141466558
29.5,5,34.5,14.5228696700937,38.5389191768156,8.28610011847164,9.48413271376303
30,5,35,14.5205341288182,38.619348937131,8.03894942870199,9.24725645280623
5,5.5,10.5,4.02779410435811,25.9232819906203,4.02779410435811,4.4569483010197
5.5,5.5,11,4.84170149010778,26.7404178541857,4.84170149010778,5.31930992937615
6,5.5,11.5,5.58308235547228,27.4867069127929,5.58308235547227,6.10237375804719
6.5,5.5,12,6.26079299338219,28.1710050855945,6.26079299338218,6.81672511547752
7,5.5,12.5,6.8822728805448,28.8007513476315,6.8822728805448,7.47091183990928
