"theta","phi","sum","Dmax1","Dmax2","d1","d2"
5,5,10,3.12846347819678,25.0447468362152,3.12846347819678,3.25416849958779
5.5,5,10.5,4.02456562654237,25.9440774623765,4.02456562654237,4.15299793084696
6,5,11,4.83744879742164,26.7618688264984,4.83744879742164,4.964858318772
6.5,5,11.5,5.57774898889246,27.5087565528609,5.57774898889246,5.70176309685481
7,5,12,6.25432972592892,28.1936036647718,6.25432972592892,6.37328496893763
7.5,5,12.5,6.87463658058115,28.8238551047647,6.87463658058113,6.98727565129979
8,5,13,7.44496987977218,29.405810442444,7.44496987977218,7.55028753316656
8.5,5,13.5,7.97069681134192,29.9448359805863,7.97069681134185,8.0678540062146
9,5,14,8.45641807877406,30.4455314099351,8.45641807877402,8.54469146265462
9.5,5,14.5,8.90610007561113,30.9118619836924,8.52822066904304,8.61390264559984
10,5,15,9.32318062496152,31.3472642571129,8.05360650666499,8.14672712395932
10.5,5,15.5,9.71065425326914,31.7547313613705,7.61994843619913,7.72022821663319
11,5,16,10.0711414752235,32.136882288574,7.22231225814877,7.3294926463023
11.5,5,16.5,10.4069454813846,32.4960185795084,6.85652403350461,6.97036504810564
12,5,17,10.7200988220791,32.8341710076565,6.51902702200645,6.63930490060895
12.5,5,17.5,11.0124020883124,33.1531382602464,6.2067716714199,6.33327698997034
13,5,18,11.2854561458287,33.4545191724566,5.9171275640838,6.04966358093036
13.5,5,18.5,11.5406891419946,33.7397397344539,5.64781503056631,5.78619649545942
14,5,19,11.779379248403,34.010075834162,5.39684646267947,5.54089817350255
14.5,5,19.5,12.00267390458,34.2666725011422,5.16248265145269,5.31203880306501
15,5,20,12.211606175101,34.5105602638928,4.94319403711959,5.09809707580853
15.5,5,20.5,12.4071087129456,34.7426691133972,4.73763191494798,4.89773215702977
16,5,21,12.59002572805,34.9638404718793,4.54460024036347,4.70975454080615
16.5,5,21.5,12.7611232857919,35.1748374915006,4.36303666617543,4.53310868090181
17,5,22,12.9210982010979,35.376353948689,4.19199349328045,4.36685243475497
17.5,5,22.5,13.0705857466304,35.5690219525578,4.03062299791803,4.21014348927354
18,5,23,13.2101663555199,35.7534186478783,3.87816458413487,4.0622264645074
18.5,5,23.5,13.3403714683887,35.9300720623543,3.73393403241162,3.92242170134174
