"theta","phi","sum","Dmax1","Dmax2","d1","d2"
5,5,10,3.12846347819678,25.0447468362152,3.12846347819677,3.70110017680047
5.5,5,10.5,4.02456562654237,25.9440774623765,4.02456562654237,4.70752457502619
6,5,11,4.83744879742164,26.7618688264984,4.83744879742163,5.61817283483341
6.5,5,11.5,5.57774898889246,27.5087565528609,5.57774898889246,6.44729682154603
7,5,12,6.25432972592892,28.1936036647718,6.25432972592892,7.20590876019535
7.5,5,12.5,6.87463658058115,28.8238551047647,6.87463658058115,7.90285091032765
8,5,13,7.44496987977218,29.405810442444,7.44496987977218,8.54538928564035
8.5,5,13.5,7.97069681134192,29.9448359805863,7.97069681134192,9.13959037874272
9,5,14,8.45641807877406,30.4455314099351,8.45641807877406,9.69057993007241
9.5,5,14.5,8.90610007561113,30.9118619836924,8.90610007561113,10.2027295403264
10,5,15,9.32318062496152,31.3472642571129,9.32318062496151,10.6797976914774
10.5,5,15.5,9.71065425326914,31.7547313613705,9.71065425326913,11.1250374394037
11,5,16,10.0711414752235,32.136882288574,10.0711414752235,11.5412821294698
11.5,5,16.5,10.4069454813846,32.4960185795084,10.4069454813846,11.9310114879092
12,5,17,10.7200988220791,32.8341710076565,10.7200988220791,12.2964074362283
12.5,5,17.5,11.0124020883124,33.1531382602464,11.0124020883124,12.6393982619145
13,5,18,11.2854561458287,33.4545191724566,11.2854561458287,12.9616948545773
13.5,5,18.5,11.5406891419946,33.7397397344539,11.5406891419946,13.2648210360273
14,5,19,11.779379248403,34.010075834162,11.779379248403,13.5501393777407
14.5,5,19.5,12.00267390458,34.2666725011422,12.00267390458,13.818871592532
15,5,20,12.211606175101,34.5105602638928,12.211606175101,14.0721173146814
15.5,5,20.5,12.4071087129456,34.7426691133972,12.4071087129456,14.3108691703791
16,5,21,12.59002572805,34.9638404718793,12.59002572805,14.5360244841697
16.5,5,21.5,12.7611232857919,35.1748374915006,12.7611232857919,14.7483987327172
17,5,22,12.9210982010979,35.376353948689,12.9210982010979,14.948733174051
17.5,5,22.5,13.0705857466304,35.5690219525578,13.0705857466304,15.1377040221455
18,5,23,13.2101663555199,35.7534186478783,13.2101663555199,15.3159291813001
18.5,5,23.5,13.3403714683887,35.9300720623543,13.3403714683887,15.4839753074434
19,5,24,13.461688649456,36.0994662229872,13.461688649456,15.6423623506658
19.5,5,24.5,13.5745660761404,36.2620456459472,13.5745660761404,15.7915686560298
20,5,25,13.6794164898676,36.4182192876607,13.6794164898676,15.9320351788861
20.5,5,25.5,13.7766206820361,36.5683640310636,13.776620682036,16.0641696838489
