"theta","phi","sum","Dmax1","Dmax2","d1","d2"
"1",5,5,10,3.12846347819678,25.0447468362152,3.12846347819677,3.50452776087179
"2",5.5,5,10.5,4.02456562654237,25.9440774623765,4.02456562654237,4.4605236817129
"3",6,5,11,4.83744879742164,26.7618688264984,4.83744879742164,5.32357702997242
"4",6.5,5,11.5,5.57774898889246,27.5087565528609,5.57774898889246,6.10726898993196
"5",7,5,12,6.25432972592892,28.1936036647718,6.25432972592892,6.8221935246548
"6",7.5,5,12.5,6.87463658058115,28.8238551047647,6.87463658058114,7.47690486890333
"7",8,5,13,7.44496987977218,29.405810442444,7.44496987977218,8.07845865971772
"8",8.5,5,13.5,7.97069681134192,29.9448359805863,7.97069681134192,8.63276040618937
"9",9,5,14,8.45641807877406,30.4455314099351,8.45641807877406,9.14480873799301
"10",9.5,5,14.5,8.90610007561113,30.9118619836924,8.90610007561113,9.61887299556134
"11",10,5,15,9.32318062496152,31.3472642571129,9.32318062496152,10.0586270485582
"12",10.5,5,15.5,9.71065425326914,31.7547313613705,9.71065425326914,10.4672537861965
"13",11,5,16,10.0711414752235,32.136882288574,10.0711414752235,10.8475265534867
"14",11.5,5,16.5,10.4069454813846,32.4960185795084,10.4069454813846,11.2018743933642
"15",12,5,17,10.7200988220791,32.8341710076565,10.7200988220791,11.5324351687281
"16",12.5,5,17.5,11.0124020883124,33.1531382602464,11.0124020883124,11.8410987619486
"17",13,5,18,11.2854561458287,33.4545191724566,11.2854561458287,12.1295427156388
"18",13.5,5,18.5,11.5406891419946,33.7397397344539,11.5406891419946,12.3992610843645
"19",14,5,19,11.779379248403,34.010075834162,11.7793792484029,12.6515904464242
"20",14.5,5,19.5,12.00267390458,34.2666725011422,12.00267390458,12.8877288514506
"21",15,5,20,12.211606175101,34.5105602638928,12.211606175101,13.108755124255
"22",15.5,5,20.5,12.4071087129456,34.7426691133972,12.4071087129456,13.3156427783634
"23",16,5,21,12.59002572805,34.9638404718793,12.59002572805,13.5092725891833
"24",16.5,5,21.5,12.7611232857919,35.1748374915006,12.7611232857919,13.6904441512923
"25",17,5,22,12.9210982010979,35.376353948689,12.9210982010979,13.8598849118907
"26",17.5,5,22.5,13.0705857466304,35.5690219525578,13.0705857466304,14.0182583199185
"27",18,5,23,13.2101663555199,35.7534186478783,13.2101663555199,14.1661704928258
"28",18.5,5,23.5,13.3403714683887,35.9300720623543,13.3403714683887,14.304177348074
"29",19,5,24,13.461688649456,36.0994662229872,13.461688649456,14.4327888390543
"30",19.5,5,24.5,13.5745660761404,36.2620456459472,13.5745660761404,14.5524742115703
"31",20,5,25,13.6794164898676,36.4182192876607,13.6794164898676,14.6636662054679
"32",20.5,5,25.5,13.7766206820361,36.5683640310636,13.776620682036,14.766764507203
"33",21,5,26,13.8665305777121,36.7128277695944,13.8665305777121,14.8621385649304
"34",21.5,5,26.5,13.9494719701858,36.8519321420566,13.9494719701853,14.9501313689238
"35",22,5,27,14.0257469516427,36.9859749636075,13.6046604086701,14.6172634292526
"36",22.5,5,27.5,14.0956360786282,37.1152323915479,13.1206277624308,14.1476233222639
