"Angle","Dmax","d1","d2","d3"
"1",10,3.12846347819678,3.12846347791048,4.19010424544662e-10,3.12846347771047
"2",10.5,4.0262181921456,4.02621819076546,1.68041749395702e-09,4.02621819168684
"3",11,4.84170149010778,4.84170148976793,1.06043897446393e-09,4.84170148968297
"4",11.5,5.58558962288109,5.58558962094609,2.39159268609953e-09,5.58558962019764
"5",12,6.26677947720936,6.26677944234458,1.08794803338635e-08,6.26677947226449
"6",12.5,6.89274445018796,6.89274444930455,3.32562298389516e-09,6.89274444341024
"7",13,7.46980819880598,7.46980819492601,2.99028874459065e-09,7.46980818853929
"8",13.5,8.00335755625623,8.00335753759159,1.62849976882161e-08,8.00335754374978
"9",14,8.4980098233212,8.49800980640924,1.17245399522886e-08,8.49800978783127
"10",14.5,8.95774544774758,8.95774537794984,6.28757266320731e-08,8.95774537648011
"11",15,9.38601416774527,9.38601415466689,4.51543949894527e-09,9.38601416370272
"12",15.5,9.78582061158278,9.78582054484072,5.03743414489679e-08,9.78582058843947
"13",16,10.1597938472579,10.1597937639727,8.68542653947863e-08,10.1597937914518
"14",16.5,10.5102442867731,10.5102442789742,4.14411059751634e-08,10.510244277162
"15",17,10.8392105484794,10.8392102866743,2.61470507138642e-07,10.8392103614245
"16",17.5,11.1484982858745,11.1484981204396,1.47684437547093e-07,11.1484979443783
"17",18,11.439712544935,11.4397123664541,6.09592193454712e-08,11.4397125428499
"18",18.5,11.7142848743113,11.714284098411,7.30246042899661e-07,11.7142841294641
"19",19,11.9734961549667,11.9734960423394,2.0410512206026e-08,11.9734960009857
"20",19.5,12.2184959175619,12.2184939369731,1.47263090966148e-06,12.2184943447503
"21",20,12.450318762232,12.4503154187701,2.62763733248586e-06,12.4503164362177
"22",20.5,12.669898375469,12.6698891468277,4.12623356765399e-06,12.6698938268488
"23",21,12.8780795445904,12.6895067770877,0.188573106035661,12.6895042180501
"24",21.5,13.0756284957714,12.4168662872689,0.65876318094488,12.4168653632391
"25",22,13.263241822343,12.1586194068399,1.1046223879572,12.1586193843471
"26",22.5,13.4415542226507,11.9152503523732,1.52630376633584,11.9152506384557
"27",23,13.6111452286265,11.6845509624869,1.92659425013861,11.6845504929341
"28",23.5,13.7725450753926,11.4677796131408,2.30476558671457,11.4677796959848
"29",24,13.9262398371652,11.2628862957652,2.66335325773399,11.2628865624756
"30",24.5,14.0726759342701,11.0704763286304,3.00219955481281,11.0704761794662
"31",25,14.2122640993167,10.8860222629756,3.32624325530459,10.886020309045
